id,calories,proteins,fat,carbohydrate,name,image
283,108.0,25.0,0.83,0.0,Tuna Flakes in water,https://images.openfoodfacts.org/images/products/955/604/160/4635/front_fr.3.400.jpg
284,133.0,0.67,4.67,48.7,Pop Corn Cheese,https://images.openfoodfacts.org/images/products/899/702/176/0018/front_en.4.400.jpg
285,656.0,21.9,53.1,21.9,Creamy Peanut Butter,https://images.openfoodfacts.org/images/products/692/287/779/2700/front_fr.3.400.jpg
286,120.0,2.0,4.0,20.0,tarik malaka untuk,https://images.openfoodfacts.org/images/products/899/417/110/1968/front_mg.13.400.jpg
287,413.5,3.4,8.8,79.0,LCMs Unicorn,https://images.openfoodfacts.org/images/products/885/275/602/3497/front_en.10.400.jpg
288,56.25,5.0,0.0,6.25,Yoghurt,https://images.openfoodfacts.org/images/products/899/340/681/1252/front_fr.3.400.jpg
289,507.0,6.9,28.3,56.3,Ritz crackers crunchy cream sandwich cheese,No Image Available
290,485.0,3.6,23.1,65.2,Walkers,https://images.openfoodfacts.org/images/products/501/155/504/1122/front_en.3.400.jpg
291,116.0,22.0,3.2,0.0,tuna komadići,https://images.openfoodfacts.org/images/products/385/989/104/4603/front_hr.10.400.jpg
292,428.47,4.82,9.23,81.53,Kopi Latte Choco Hazelnut,https://images.openfoodfacts.org/images/products/899/199/811/0210/front_id.7.400.jpg
293,429.0,7.14,14.3,71.4,The Famous Classic NEXTAR nastar cookies,https://images.openfoodfacts.org/images/products/899/317/553/8947/front_en.10.400.jpg
294,71.1,2.22,2.22,10.7,Frisian Flag Purefarm Swiss Chocolate,https://images.openfoodfacts.org/images/products/899/275/303/3720/front_en.7.400.jpg
295,519.0,7.41,25.9,63.0,Roma Biscuit Sandwich Chocolate (Coklat Bon Bon),https://images.openfoodfacts.org/images/products/899/600/130/5041/front_en.4.400.jpg
296,541.0,2.7,29.7,62.2,Koala’s March Strawberry,https://images.openfoodfacts.org/images/products/885/200/830/0130/front_kk.6.400.jpg
297,481.0,8.64,24.7,55.6,sedaap cup kari spesial,https://images.openfoodfacts.org/images/products/899/886/620/0844/front_en.28.400.jpg
298,378.0,59.5,5.95,21.6,Whey,https://images.openfoodfacts.org/images/products/062/793/302/7319/front_fr.3.400.jpg
299,20.0,0.0,0.0,5.0,No xplode,https://images.openfoodfacts.org/images/products/083/426/600/1514/front_fr.3.400.jpg
300,402.0,6.0,2.0,88.0,Bubs Organic,https://images.openfoodfacts.org/images/products/933/807/800/4035/front_en.7.400.jpg
301,90.0,2.0,6.0,7.0,Chocolatte hazelnut spread,https://images.openfoodfacts.org/images/products/899/721/273/1193/front_fr.3.400.jpg
302,0.0,8.75,22.5,61.2,mi goreng hot & spicy,https://images.openfoodfacts.org/images/products/899/168/889/0644/front_en.3.400.jpg
303,100.0,2.0,1.0,20.0,Choco balls,https://images.openfoodfacts.org/images/products/506/031/866/6911/front_fr.3.400.jpg
304,474.0,10.5,26.3,63.2,Beng-beng Share it,https://images.openfoodfacts.org/images/products/899/600/135/5978/front_id.6.400.jpg
305,376.0,5.9,1.6,82.0,Swiss Choco Croc,https://images.openfoodfacts.org/images/products/761/002/300/2023/front_fr.3.400.jpg
306,545.0,3.8,32.0,59.5,Ovomaltine crunchy cream,https://images.openfoodfacts.org/images/products/761/210/002/7158/front_fr.3.400.jpg
307,6.3,3.0,0.0,0.8,Kecap asin sari ikan cap burung kiwi,https://images.openfoodfacts.org/images/products/899/723/227/0016/front_id.3.400.jpg
308,410.0,9.0,20.0,9.0,Indomie Mi Goreng Rasa Ayam Geprek,https://images.openfoodfacts.org/images/products/008/968/604/3433/front_en.3.400.jpg
