calories,proteins,fat,carbohydrate
538.0,13.6,30.3,52.6
422.0,0.9,10.8,80.4
346.0,16.5,1.5,66.6
240.0,21.7,7.7,20.7
47.0,5.0,0.5,8.5
146.0,1.2,0.3,34.7
590.0,13.6,42.3,38.7
561.0,25.5,43.8,26.0
166.67,6.67,20.0,73.33
214.0,5.4,5.4,40.2
113.0,17.6,4.2,0.0
300.0,0.0,4.5,4.0
130.0,5.0,4.0,18.0
940.0,36.0,42.0,104.0
120.0,1.0,8.0,10.0
56.0,0.6,0.3,14.2
264.0,4.0,1.1,59.6
27.0,1.3,0.2,5.9
104.0,15.6,3.2,2.0
400.0,5.0,5.0,85.0
480.0,3.0,5.0,16.0
484.0,6.5,22.2,64.7
338.0,1.5,0.7,81.3
17.0,0.6,0.2,3.8
204.0,34.2,5.6,1.9
92.0,4.0,3.6,10.9
485.0,1.7,22.2,69.7
290.0,10.0,10.0,10.0
221.0,7.5,10.2,24.8
168.0,13.0,9.6,7.5
24.0,0.0,0.0,6.0
75.0,2.0,2.25,11.5
35.0,4.0,0.3,6.4
41.0,2.2,0.8,6.3
94.0,3.0,6.8,5.1
598.0,74.3,26.9,9.2
36.0,2.6,0.9,6.1
114.0,0.0,28.0,20.0
110.0,1.0,7.0,11.0
21.0,3.8,0.6,0.9
0.0,2.2,0.0,0.0
320.0,15.1,30.5,0.9
119.0,0.5,0.4,25.1
85.0,5.7,0.3,15.4
73.0,4.6,0.5,16.2
363.0,8.7,0.4,78.7
30.0,2.2,0.2,6.4
364.0,6.8,0.6,80.1
355.0,6.2,1.2,79.8
30.0,1.9,0.1,5.5
120.0,6.0,6.0,10.0
330.0,5.2,8.9,57.4
111.0,19.4,0.9,4.8
287.5,3.75,18.75,25.0
480.0,8.0,21.3,61.3
352.0,17.4,1.3,69.0
500.0,9.1,18.0,73.0
368.0,0.0,0.0,95.0
48.0,3.6,1.2,5.2
280.0,9.2,28.4,0.0
119.0,1.4,0.2,28.1
457.0,11.6,45.0,0.0
280.0,5.0,17.0,26.0
100.0,3.0,3.0,17.0
351.0,0.9,0.9,84.9
71.0,6.8,1.6,11.5
457.0,20.2,21.5,52.5
555.56,11.11,33.33,51.85
35.0,2.2,0.1,7.4
542.0,40.3,42.4,11.5
180.0,8.0,11.0,12.0
75.0,4.5,3.0,8.0
132.0,9.8,1.1,20.7
250.0,6.25,1.56,53.1
261.0,38.1,2.3,21.9
19.0,2.7,0.2,2.9
130.0,14.0,7.2,1.5
43.0,0.0,0.0,10.0
141.0,10.2,1.3,23.2
292.0,11.2,11.2,2.8
150.0,3.0,8.0,17.0
200.0,8.0,18.0,4.0
270.0,8.0,3.5,33.0
327.0,16.4,4.3,55.8
182.0,32.0,6.0,0.0
119.0,4.4,3.5,18.3
60.0,0.0,0.0,15.0
571.0,0.0,35.1,37.9
133.0,1.0,0.2,32.2
113.0,13.9,4.9,3.4
72.0,0.8,0.2,18.7
550.0,7.0,45.0,45.0
212.0,16.9,0.2,47.6
25.0,2.4,0.2,4.9
381.0,40.4,16.7,24.9
10.0,0.0,0.0,2.0
196.0,14.5,8.3,15.9
73.0,16.4,0.3,0.0
323.0,22.9,1.5,56.8
142.0,10.4,2.0,22.0
344.0,30.0,20.0,43.0
148.0,10.6,0.5,26.2
350.0,6.2,1.4,78.2
389.0,79.0,3.0,10.0
40.0,3.0,0.0,6.0
69.6,2.61,2.17,10.4
123.0,15.1,5.5,3.3
65.22,0.0,2.17,10.87
110.0,5.0,8.0,6.0
133.0,1.0,0.1,32.1
80.0,3.2,2.4,11.2
